Stock Name,Sector,Percentage Invested,Money Invested,Count,Nifty Weightage,Market Cap
ICICI Bank Ltd.,Financial,115.94,5338.381899999999,361,6.65,"5,00,153"
State Bank of India,Financial,68.87999999999998,2736.6189999999997,289,2.48,"4,32,264"
HDFC Bank Ltd.,Financial,103.27999999999999,5114.2082,225,8.45,"7,31,068"
Larsen & Toubro Ltd.,Construction,54.37,1927.0505999999998,225,2.80,"2,27,980"
Axis Bank Ltd.,Financial,48.7,2924.2622000000006,169,2.63,"2,06,726"
ITC Ltd.,Consumer Staples,40.309999999999995,1155.5846999999999,169,2.88,"3,28,723"
Infosys Ltd.,Technology,66.31,4807.2365,144,9.15,"6,49,302"
Bharti Airtel Ltd.,Communication,34.94,1991.1798000000001,144,2.34,"4,18,022"
SBI Life Insurance Company Ltd.,Insurance,15.340000000000002,647.8507,121,0.65,"1,05,899"
Tata Steel Ltd.,Metals & Mining,18.06,937.0083999999999,121,1.38,"1,56,985"
HDFC Standard Life Insurance Company Ltd.,Insurance,13.379999999999999,714.9356999999999,121,,
Reliance Industries Ltd.,Energy,50.230000000000004,3283.2805999999996,100,11.92,"17,73,469"
Ambuja Cements Ltd.,Materials,14.510000000000002,408.8491000000001,100,,
Housing Development Finance Corpn. Ltd.,Financial,39.599999999999994,1496.4053999999999,100,5.67,"3,90,046"
Gland Pharma Ltd.,Healthcare,23.509999999999998,516.734,100,,
Ashok Leyland Ltd.,Automobile,15.93,537.6727,100,,
Dr. Reddy's Laboratories Ltd.,Healthcare,18.47,457.4366,100,0.68,"65,405"
Coal India Ltd.,Materials,25.700000000000006,216.9681,81,0.50,"1,15,520"
Cholamandalam Investment & Finance Co. Ltd.,Financial,14.680000000000001,886.0327,81,,
Aurobindo Pharma Ltd.,Healthcare,13.04,600.0966000000001,81,,
Kotak Mahindra Bank Ltd.,Financial,15.94,762.4182000000001,81,3.38,"3,51,970"
Maruti Suzuki India Ltd.,Automobile,15.88,1204.0520999999999,81,1.32,"2,19,837"
Sun Pharmaceutical Inds. Ltd.,Healthcare,30.94,1730.1076,81,1.30,"2,11,765"
Tata Consultancy Services Ltd.,Technology,22.619999999999997,1702.3935999999997,81,5.08,"12,56,152"
Adani Ports and Special Economic Zone Ltd.,Services,32.85,335.69100000000003,81,0.73,"1,71,229"
Persistent Systems Ltd.,Technology,19.97,1105.566,64,,
Bajaj Finance Ltd.,Financial,27.839999999999996,1384.4783,64,2.54,"3,63,315"
Indian Hotels Co. Ltd.,Services,24.259999999999998,509.45160000000004,64,,
National Aluminium Co. Ltd.,Metals & Mining,17.89,233.40980000000002,64,,
Container Corpn. Of India Ltd.,Services,14.98,272.2537,64,,
Bharti Airtel Ltd. Partly Paid Equity,Communication,1.95,174.90359999999998,64,,
Titan Company Ltd.,Consumer Discretionary,8.08,386.77889999999996,49,1.39,"1,95,988"
Ultratech Cement Ltd.,Materials,17.21,393.3469,49,1,"1,79,038"
Motherson Sumi Wiring India Ltd.,Automobile,2.8200000000000003,296.13359999999994,49,,
Max Financial Services Ltd.,Financial,9.290000000000001,870.3049,49,,
HCL Technologies Ltd.,Technology,15.590000000000002,989.1423,49,1.62,"2,84,976"
Divi's Laboratories Ltd.,Healthcare,13.4,520.7645000000001,49,0.74,"1,10,373"
Linde India Ltd.,Chemicals,22.57,408.243,49,,
Fortis Healthcare (India) Ltd,Healthcare,16.28,426.6783,49,,
Tata Motors Ltd.,Automobile,8.219999999999999,701.2346,49,1.02,"1,35,723"
Hindustan Unilever Ltd.,Consumer Staples,13.34,729.3129000000001,49,2.40,"5,05,068"
ICICI Lombard General Insurance Comapny Limited,Insurance,7.01,472.41210000000007,49,,
Oil & Natural Gas Corpn. Ltd.,Energy,8.72,79.521,49,0.78,"2,10,028"
Bharat Electronics Ltd.,Capital Goods,10.08,394.2259000000001,36,,
Avenue Supermarts Ltd.,Services,8.290000000000001,464.78409999999997,36,,
IRB Infrastructure Developers Ltd.,Construction,21.659999999999997,136.76559999999998,36,,
Just Dial Ltd.,Services,6.43,84.1808,36,,
